Not Bound Resource Budget Analysis Report

Resource Summary: 
  MIPS capacity 57,000 MIPS : MIPS budget 54,870 MIPS
  8 out of 8 with MIPS capacity
*   192 out of 193 with MIPS budget



Detailed Processor MIPS Capacity Report 

Component,Capacity
processor cpu, 25,500 MIPS,
processor wstepna_obrobka_sys.cpu, 4,500 MIPS,
processor kadz_filtracyjna_sys.cpu, 4,500 MIPS,
processor warzenie_sys.cpu, 4,500 MIPS,
processor parowanie_sys.cpu, 4,500 MIPS,
processor wirowanie_sys.cpu, 4,500 MIPS,
processor fermentacja_sys.cpu, 4,500 MIPS,
processor butelkowanie_sys.cpu, 4,500 MIPS,
Total, 57,000 MIPS,


Detailed MIPS Budget Report 

Component,Budget,Actual,Notes
  process wstepna_obrobka_sys.mieszanie_proc,   8,000 MIPS,  1,800 MIPS,process WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.mieszanie_proc total 1,800 MIPS below budget 8,000 MIPS (77,5 % slack)
    thread wstepna_obrobka_sys.czajnik_proc.input_gate_c,     2,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.czajnik_proc.input_gate_c total 0,450 MIPS below budget 2,500 MIPS (82,0 % slack)
    thread wstepna_obrobka_sys.czajnik_proc.output_gate_c,     2,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.czajnik_proc.output_gate_c total 0,450 MIPS below budget 2,500 MIPS (82,0 % slack)
    thread wstepna_obrobka_sys.czajnik_proc.czajnik_decision_center,     2,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.czajnik_proc.czajnik_decision_center total 0,450 MIPS below budget 2,500 MIPS (82,0 % slack)
  process wstepna_obrobka_sys.czajnik_proc,   8,000 MIPS,  1,350 MIPS,process WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.czajnik_proc total 1,350 MIPS below budget 8,000 MIPS (83,1 % slack)
    thread wstepna_obrobka_sys.heater_control_proc.read_temp,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.heater_control_proc.read_temp total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread wstepna_obrobka_sys.heater_control_proc.control,     2,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.heater_control_proc.control total 0,450 MIPS below budget 2,500 MIPS (82,0 % slack)
    thread wstepna_obrobka_sys.heater_control_proc.heater_ctrl,     2,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.heater_control_proc.heater_ctrl total 0,450 MIPS below budget 2,500 MIPS (82,0 % slack)
  process wstepna_obrobka_sys.heater_control_proc,   7,000 MIPS,  1,350 MIPS,process WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.heater_control_proc total 1,350 MIPS below budget 7,000 MIPS (80,7 % slack)
    thread wstepna_obrobka_sys.timer_control_proc.timer_thread,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.timer_control_proc.timer_thread total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
